id,datetime,saleamount,budget
1,2024-01-01,9999,9999
2,2023-07-02,7777,7777
3,2023-08-07,7778,7778
4,2023-09-12,8777,8777
5,2023-10-11,6777,6777
6,2023-10-04,5777,5777
7,2023-11-01,4777,4777
8,2023-12-01,3777,3777
9,2023-05-04,2777,2777
10,2023-04-07,1777,1777
11,2023-03-03,777,777
12,2023-02-09,1177,1177
13,2023-01-04,1999,1999
14,2024-01-01,1999,1999
15,2024-02-01,2999,2999
16,2024-03-01,3999,3999
17,2024-04-02,4899,4899
18,2024-05-02,5899,5899
19,2024-06-05,6999,6999
20,2024-07-09,7898,7898
21,2024-08-01,9232,9232
22,2024-09-05,9284,9284
23,2024-10-03,7324,7324
24,2024-11-07,7421,7421
25,2024-12-05,2932,2932
26,2023-06-02,7777,7777
